2021-11-17 18:26:23,726 [main] INFO  [o.s.scheduling.concurrent.ThreadPoolTaskExecutor] ExecutorConfigurationSupport.java:181 - Initializing ExecutorService 'applicationTaskExecutor'
2021-11-17 18:26:23,946 [main] INFO  [c.f.c.c.configuration.RedisCacheAutoConfiguration] RedisCacheAutoConfiguration.java:172 - RedisUtils [com.fx.cloud.common.utils.RedisUtils@32e7b78d]
2021-11-17 18:26:24,425 [main] INFO  [o.s.security.web.DefaultSecurityFilterChain] DefaultSecurityFilterChain.java:43 - Creating filter chain: OrRequestMatcher [requestMatchers=[Ant [pattern='/oauth/token'], Ant [pattern='/oauth/token_key'], Ant [pattern='/oauth/check_token']]], [org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@3dcbbbc, org.springframework.security.web.context.SecurityContextPersistenceFilter@4682882a, org.springframework.security.web.header.HeaderWriterFilter@47f0e078, org.springframework.security.web.authentication.logout.LogoutFilter@64508788, org.springframework.security.oauth2.provider.client.ClientCredentialsTokenEndpointFilter@5f781173, org.springframework.security.web.authentication.www.BasicAuthenticationFilter@2d8087da, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@6a116354, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@6212ea52, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@4040ccae, org.springframework.security.web.session.SessionManagementFilter@5c703860, org.springframework.security.web.access.ExceptionTranslationFilter@3c1908c8, org.springframework.security.web.access.intercept.FilterSecurityInterceptor@49f6c25e]
2021-11-17 18:26:24,437 [main] INFO  [o.s.security.web.DefaultSecurityFilterChain] DefaultSecurityFilterChain.java:43 - Creating filter chain: org.springframework.security.oauth2.config.annotation.web.configuration.ResourceServerConfiguration$NotOAuthRequestMatcher@663622b1, [org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@1be52113, org.springframework.security.web.context.SecurityContextPersistenceFilter@625db0e0, org.springframework.security.web.header.HeaderWriterFilter@2aac6fa7, org.springframework.security.web.authentication.logout.LogoutFilter@3134b261, org.springframework.security.oauth2.provider.authentication.OAuth2AuthenticationProcessingFilter@309e3f34, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@511d568f, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@1805ca5c, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@5badeda0, org.springframework.security.web.session.SessionManagementFilter@29a1ec65, org.springframework.security.web.access.ExceptionTranslationFilter@647af13d, org.springframework.security.web.access.intercept.FilterSecurityInterceptor@6d4c18b8]
2021-11-17 18:26:24,444 [main] INFO  [o.s.security.web.DefaultSecurityFilterChain] DefaultSecurityFilterChain.java:43 - Creating filter chain: any request, [org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@175957b6, org.springframework.security.web.context.SecurityContextPersistenceFilter@63a7af06, org.springframework.security.web.header.HeaderWriterFilter@4c9cce17, org.springframework.security.web.csrf.CsrfFilter@622ba721, org.springframework.security.web.authentication.logout.LogoutFilter@3d4b45b, org.springframework.security.web.authentication.UsernamePasswordAuthenticationFilter@231d3ce, org.springframework.security.web.authentication.ui.DefaultLoginPageGeneratingFilter@d5e3f55, org.springframework.security.web.authentication.ui.DefaultLogoutPageGeneratingFilter@1b7a4930, org.springframework.security.web.authentication.www.BasicAuthenticationFilter@240f2efd, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@5f01fb5c, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@75c77add, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@591a4d25, org.springframework.security.web.session.SessionManagementFilter@73316a0a, org.springframework.security.web.access.ExceptionTranslationFilter@7509226c, org.springframework.security.web.access.intercept.FilterSecurityInterceptor@3f87780b]
2021-11-17 18:26:24,829 [main] WARN  [o.s.c.s.o.SpringCloudSecurityAutoConfiguration] SpringCloudSecurityAutoConfiguration.java:38 - All Spring Cloud Security modules and starters are deprecated. They will be moved to individual projects in the next major release.
2021-11-17 18:26:25,186 [main] INFO  [com.alibaba.nacos.client.naming] EventDispatcher.java:61 - [LISTENER] adding DEFAULT_GROUP@@fx-uaa-server with DEFAULT to listener map
2021-11-17 18:26:25,187 [main] INFO  [org.apache.coyote.http11.Http11NioProtocol] DirectJDKLog.java:173 - Starting ProtocolHandler ["http-nio-9997"]
2021-11-17 18:26:25,215 [main] INFO  [o.s.boot.web.embedded.tomcat.TomcatWebServer] TomcatWebServer.java:220 - Tomcat started on port(s): 9997 (http) with context path ''
2021-11-17 18:26:25,220 [main] INFO  [com.alibaba.nacos.client.naming] BeatReactor.java:66 - [BEAT] adding beat: {"cluster":"DEFAULT","ip":"172.16.0.118","metadata":{"preserved.register.source":"SPRING_CLOUD"},"period":5000,"port":9997,"scheduled":false,"serviceName":"DEFAULT_GROUP@@fx-uaa-server","stopped":false,"weight":1.0} to beat map.
